Model,Model_Display,Metadata_Condition,Metadata_Label,N,Baseline_Accuracy,Metadata_Accuracy,Delta_Accuracy,Baseline_Kappa,Metadata_Kappa,Delta_Kappa,Baseline_Bias_Rate,Metadata_Bias_Rate,Delta_Bias_Rate
gemini-2.5-flash-lite,Gemini 2.5,source,Source,2179,0.4148692060578247,0.3900871959614502,-0.024782010096374485,0.020837070686102077,0.008666280753127142,-0.012170789932974935,0.14502065167508033,0.08077099586966498,-0.06424965580541535
gemma3_27b,Gemma3 27B,source,Source,2179,0.4515832950894906,0.4593850390087196,0.007801743919228998,0.053088611084140425,0.031990084569645805,-0.02109852651449462,0.21202386415787058,0.29354838709677417,0.08152452293890358
gpt-4o-mini,GPT-4o mini,source,Source,2179,0.40660853602569985,0.3992657182193667,-0.007342817806333168,0.0331404839844901,0.0227832497547803,-0.0103572342297098,0.08627810922441487,0.08260670032124828,-0.003671408903166584
gpt-5.4-mini,GPT-5.4 mini,source,Source,2179,0.44102799449288665,0.4336851766865535,-0.007342817806333168,0.024021234533034508,0.02367391577459832,-0.0003473187584361881,0.2354290959155576,0.20881138136759983,-0.026617714547957777
llama3.2_3b,Llama 3.2 3B,source,Source,2179,0.5153740247820101,0.5190454336851766,0.0036714089031665287,0.025955620274812352,-0.00967587327807129,-0.03563149355288364,0.5089490592014686,0.5860486461679669,0.07709958696649832
llama4_scout,Llama 4 Scout,source,Source,2179,0.4625975217989904,0.4639743001376778,0.0013767783386874344,0.021371279672584675,0.03605835147537606,0.014687071802791385,0.32124827902707664,0.29600734281780633,-0.025240936209270315
phi4-mini,Phi-4 mini,source,Source,2179,0.5667737494263424,0.5277650298301974,-0.03900871959614505,-0.010656978920898563,0.000956184387638781,0.011613163308537344,0.7595227168425883,0.5993575034419458,-0.1601652134006425
qwen3_30b,Qwen3 30B,source,Source,2179,0.3717301514456173,0.3744837081229922,0.0027535566773749243,0.004150248891414132,0.00453359691610844,0.00038334802469430773,0.023864157870582835,0.03304268012849931,0.009178522257916478
qwen3_4b,Qwen3 4B,source,Source,2179,0.3758604864616797,0.3841211564938045,0.008260670032124828,0.00492661122214344,0.014926589878889507,0.009999978656746067,0.03717301514456173,0.0445158329508949,0.007342817806333175
r1-1776_latest,R1-1776,source,Source,2179,0.5098669114272603,0.4827902707664066,-0.027076640660853635,0.043505566328623346,0.03915929818136443,-0.004346268147258914,0.45479577787976133,0.36071592473611747,-0.09407985314364387
gemini-2.5-flash-lite,Gemini 2.5,politics,Politics,2179,0.4148692060578247,0.4359798072510326,0.0211106011932079,0.020837070686102077,0.013250782161665975,-0.007586288524436102,0.14502065167508033,0.23955943093162002,0.0945387792565397
gemma3_27b,Gemma3 27B,politics,Politics,2179,0.4515832950894906,0.4979348324919688,0.046351537402478216,0.053088611084140425,0.05348972022580045,0.00040110914166002765,0.21202386415787058,0.3967741935483871,0.18475032939051653
gpt-4o-mini,GPT-4o mini,politics,Politics,2179,0.40660853602569985,0.4405690683799908,0.03396053235429097,0.0331404839844901,0.04075749866109857,0.007617014676608469,0.08627810922441487,0.19733822854520422,0.11106011932078935
gpt-5.4-mini,GPT-5.4 mini,politics,Politics,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,0.024021234533034508,0.030692889013611113,0.006671654480576605,0.2354290959155576,0.21936668196420375,-0.016062413951353854
llama3.2_3b,Llama 3.2 3B,politics,Politics,2179,0.5153740247820101,0.5057365764111978,-0.009637448370812263,0.025955620274812352,-0.005396311435202028,-0.03135193171001438,0.5089490592014686,0.5305185865075723,0.02156952730610373
llama4_scout,Llama 4 Scout,politics,Politics,2179,0.4625975217989904,0.48003671408903165,0.01743919229004126,0.021371279672584675,0.021197546815907686,-0.00017373285667698912,0.32124827902707664,0.3864157870582836,0.06516750803120697
