Model,Model_Display,N,Before_Accuracy,After_Accuracy,Delta_Accuracy,N_Improved,N_Worsened,N_Unchanged,Improved_Rate,Worsened_Rate,Net_Improvement_Rate,Comparison
gemini-2.5-flash-lite,Gemini 2.5,216,0.4074074074074074,0.4444444444444444,0.037037037037037035,23,15,178,0.10648148148148148,0.06944444444444445,0.037037037037037035,CoT vs Direct
gemma3_27b,Gemma3 27B,218,0.45871559633027525,0.6192660550458715,0.16055045871559626,80,45,93,0.3669724770642202,0.20642201834862386,0.16055045871559634,CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,0.42660550458715596,0.46788990825688076,0.0412844036697248,30,21,167,0.13761467889908258,0.0963302752293578,0.04128440366972477,CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,0.44495412844036697,0.5275229357798165,0.08256880733944949,33,15,170,0.15137614678899083,0.06880733944954129,0.08256880733944955,CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,0.5229357798165137,0.5504587155963303,0.02752293577981657,44,38,136,0.2018348623853211,0.1743119266055046,0.027522935779816515,CoT vs Direct
llama4_scout,Llama 4 Scout,218,0.44954128440366975,0.3944954128440367,-0.05504587155963303,16,28,174,0.07339449541284404,0.12844036697247707,-0.05504587155963303,CoT vs Direct
phi4-mini,Phi-4 mini,218,0.591743119266055,0.44036697247706424,-0.1513761467889908,51,84,83,0.23394495412844038,0.3853211009174312,-0.15137614678899083,CoT vs Direct
qwen3_30b,Qwen3 30B,218,0.3761467889908257,0.40825688073394495,0.03211009174311924,10,3,205,0.045871559633027525,0.013761467889908258,0.03211009174311927,CoT vs Direct
qwen3_4b,Qwen3 4B,218,0.3853211009174312,0.40825688073394495,0.022935779816513735,9,4,205,0.04128440366972477,0.01834862385321101,0.022935779816513763,CoT vs Direct
r1-1776_latest,R1-1776,218,0.5045871559633027,0.591743119266055,0.08715596330275233,47,28,143,0.21559633027522937,0.12844036697247707,0.0871559633027523,CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,216,0.4074074074074074,0.5555555555555556,0.1481481481481482,54,22,140,0.25,0.10185185185185185,0.14814814814814814,Chained CoT vs Direct
gemma3_27b,Gemma3 27B,218,0.45871559633027525,0.6467889908256881,0.18807339449541283,105,64,49,0.481651376146789,0.29357798165137616,0.18807339449541283,Chained CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,0.42660550458715596,0.6422018348623854,0.2155963302752294,122,75,21,0.5596330275229358,0.3440366972477064,0.21559633027522934,Chained CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,0.44495412844036697,0.6376146788990825,0.19266055045871555,97,55,66,0.44495412844036697,0.25229357798165136,0.1926605504587156,Chained CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,0.5229357798165137,0.5779816513761468,0.05504587155963303,40,28,150,0.1834862385321101,0.12844036697247707,0.05504587155963303,Chained CoT vs Direct
llama4_scout,Llama 4 Scout,218,0.44954128440366975,0.4724770642201835,0.022935779816513735,33,28,157,0.15137614678899083,0.12844036697247707,0.022935779816513763,Chained CoT vs Direct
phi4-mini,Phi-4 mini,218,0.591743119266055,0.518348623853211,-0.07339449541284404,37,53,128,0.16972477064220184,0.24311926605504589,-0.07339449541284404,Chained CoT vs Direct
qwen3_30b,Qwen3 30B,218,0.3761467889908257,0.6055045871559633,0.22935779816513763,118,68,32,0.5412844036697247,0.3119266055045872,0.22935779816513757,Chained CoT vs Direct
qwen3_4b,Qwen3 4B,218,0.3853211009174312,0.5963302752293578,0.21100917431192656,94,48,76,0.43119266055045874,0.22018348623853212,0.21100917431192662,Chained CoT vs Direct
r1-1776_latest,R1-1776,218,0.5045871559633027,0.6376146788990825,0.1330275229357798,69,40,109,0.3165137614678899,0.1834862385321101,0.1330275229357798,Chained CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,216,0.4444444444444444,0.5555555555555556,0.11111111111111116,48,24,144,0.2222222222222222,0.1111111111111111,0.1111111111111111,Chained CoT vs CoT
gemma3_27b,Gemma3 27B,218,0.6192660550458715,0.6467889908256881,0.02752293577981657,26,20,172,0.11926605504587157,0.09174311926605505,0.027522935779816515,Chained CoT vs CoT
gpt-4o-mini,GPT-4o mini,218,0.46788990825688076,0.6422018348623854,0.1743119266055046,96,58,64,0.44036697247706424,0.26605504587155965,0.1743119266055046,Chained CoT vs CoT
gpt-5.4-mini,GPT-5.4 mini,218,0.5275229357798165,0.6376146788990825,0.11009174311926606,73,49,96,0.3348623853211009,0.22477064220183487,0.11009174311926603,Chained CoT vs CoT
llama3.2_3b,Llama 3.2 3B,218,0.5504587155963303,0.5779816513761468,0.02752293577981646,50,44,124,0.22935779816513763,0.2018348623853211,0.027522935779816515,Chained CoT vs CoT
llama4_scout,Llama 4 Scout,218,0.3944954128440367,0.4724770642201835,0.07798165137614677,33,16,169,0.15137614678899083,0.07339449541284404,0.0779816513761468,Chained CoT vs CoT
phi4-mini,Phi-4 mini,218,0.44036697247706424,0.518348623853211,0.07798165137614677,58,41,119,0.26605504587155965,0.18807339449541285,0.0779816513761468,Chained CoT vs CoT
qwen3_30b,Qwen3 30B,218,0.40825688073394495,0.6055045871559633,0.1972477064220184,109,66,43,0.5,0.30275229357798167,0.19724770642201833,Chained CoT vs CoT
qwen3_4b,Qwen3 4B,218,0.40825688073394495,0.5963302752293578,0.18807339449541283,90,49,79,0.41284403669724773,0.22477064220183487,0.18807339449541285,Chained CoT vs CoT
r1-1776_latest,R1-1776,218,0.591743119266055,0.6376146788990825,0.04587155963302747,60,50,108,0.27522935779816515,0.22935779816513763,0.045871559633027525,Chained CoT vs CoT
