article_id,index,llm_assessment,llm_confidence,llm_label,Model,Condition
195,352,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
182,541,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
146,667,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
22,793,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
21,1486,is-biased,85,1,gemini-2.5-flash-lite,Direct
265,1801,is-biased,85,1,gemini-2.5-flash-lite,Direct
157,353,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
142,542,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
12,668,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
230,794,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
267,1487,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
30,1802,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
152,354,is-biased,95,1,gemini-2.5-flash-lite,Direct
111,543,is-biased,85,1,gemini-2.5-flash-lite,Direct
198,669,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
253,795,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
137,1488,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1803,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
99,355,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,544,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
176,670,is-biased,75,1,gemini-2.5-flash-lite,Direct
156,796,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,1489,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
212,1804,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
20,356,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
193,545,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
230,671,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
233,797,is-biased,85,1,gemini-2.5-flash-lite,Direct
80,1490,is-biased,75,1,gemini-2.5-flash-lite,Direct
116,1805,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
160,357,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
