Model,Model_Display,N,n00,n01,n10,n11,McNemar_statistic,p_value,significance,Test_Type,Comparison
gemini-2.5-flash-lite,Gemini 2.5,216,105,23,15,73,1.2894736842105263,0.25614496660352326,ns,Alignment change,CoT vs Direct
gemma3_27b,Gemma3 27B,218,38,80,45,55,9.248,0.0023575275957954927,**,Alignment change,CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,95,30,21,72,1.2549019607843137,0.2626182904425174,ns,Alignment change,CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,88,33,15,82,6.020833333333333,0.014137969455911498,*,Alignment change,CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,60,44,38,76,0.3048780487804878,0.5808403603117522,ns,Alignment change,CoT vs Direct
llama4_scout,Llama 4 Scout,218,104,16,28,70,2.75,0.0972544284390033,ns,Alignment change,CoT vs Direct
phi4-mini,Phi-4 mini,218,38,51,84,45,7.5851851851851855,0.005884991805863098,**,Alignment change,CoT vs Direct
qwen3_30b,Qwen3 30B,218,126,10,3,79,2.769230769230769,0.09609232945567359,ns,Alignment change,CoT vs Direct
qwen3_4b,Qwen3 4B,218,125,9,4,80,1.2307692307692308,0.2672574931543847,ns,Alignment change,CoT vs Direct
r1-1776_latest,R1-1776,218,61,47,28,82,4.32,0.03766692222862873,*,Alignment change,CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,216,74,54,22,66,12.644736842105264,0.0003766244809686679,***,Alignment change,Chained CoT vs Direct
gemma3_27b,Gemma3 27B,218,13,105,64,36,9.467455621301776,0.0020914926604775137,**,Alignment change,Chained CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,3,122,75,18,10.741116751269036,0.0010478108306069837,**,Alignment change,Chained CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,24,97,55,42,11.05921052631579,0.0008824771121003537,***,Alignment change,Chained CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,64,40,28,86,1.7794117647058822,0.18222157493332736,ns,Alignment change,Chained CoT vs Direct
llama4_scout,Llama 4 Scout,218,87,33,28,70,0.26229508196721313,0.608547769107773,ns,Alignment change,Chained CoT vs Direct
phi4-mini,Phi-4 mini,218,52,37,53,76,2.5,0.11384629800665808,ns,Alignment change,Chained CoT vs Direct
qwen3_30b,Qwen3 30B,218,18,118,68,14,12.908602150537634,0.0003270754674175483,***,Alignment change,Chained CoT vs Direct
qwen3_4b,Qwen3 4B,218,40,94,48,36,14.26056338028169,0.00015916496817840154,***,Alignment change,Chained CoT vs Direct
r1-1776_latest,R1-1776,218,39,69,40,70,7.192660550458716,0.007320236335744659,**,Alignment change,Chained CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,216,72,48,24,72,7.347222222222222,0.006716645502620939,**,Alignment change,Chained CoT vs CoT
gemma3_27b,Gemma3 27B,218,57,26,20,115,0.5434782608695652,0.460994786425578,ns,Alignment change,Chained CoT vs CoT
gpt-4o-mini,GPT-4o mini,218,20,96,58,44,8.88961038961039,0.00286797924841245,**,Alignment change,Chained CoT vs CoT
gpt-5.4-mini,GPT-5.4 mini,218,30,73,49,66,4.336065573770492,0.03731305320219145,*,Alignment change,Chained CoT vs CoT
llama3.2_3b,Llama 3.2 3B,218,48,50,44,76,0.26595744680851063,0.606056533989492,ns,Alignment change,Chained CoT vs CoT
llama4_scout,Llama 4 Scout,218,99,33,16,70,5.224489795918367,0.022270978959232805,*,Alignment change,Chained CoT vs CoT
phi4-mini,Phi-4 mini,218,64,58,41,55,2.585858585858586,0.10782192815996879,ns,Alignment change,Chained CoT vs CoT
qwen3_30b,Qwen3 30B,218,20,109,66,23,10.08,0.0014988733371516763,**,Alignment change,Chained CoT vs CoT
qwen3_4b,Qwen3 4B,218,39,90,49,40,11.510791366906474,0.0006919331388089076,***,Alignment change,Chained CoT vs CoT
r1-1776_latest,R1-1776,218,29,60,50,79,0.7363636363636363,0.3908282308519907,ns,Alignment change,Chained CoT vs CoT
