Model,Model_Display,Condition,N,Accuracy,Kappa,Bias_Prediction_Rate,Mean_Confidence
gemini-2.5-flash-lite,Gemini 2.5,Direct,216,0.4074074074074074,0.020477573868064924,0.13425925925925927,94.08796296296296
gemini-2.5-flash-lite,Gemini 2.5,CoT,216,0.4444444444444444,0.06943347454584614,0.16203703703703703,94.51851851851852
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT,216,0.5555555555555556,0.12734618298123057,0.4675925925925926,82.77777777777777
gemma3_27b,Gemma3 27B,Direct,218,0.45871559633027525,0.07660277119678371,0.20642201834862386,87.13302752293578
gemma3_27b,Gemma3 27B,CoT,218,0.6192660550458715,0.09466626638647047,0.7706422018348624,75.80275229357798
gemma3_27b,Gemma3 27B,Chained CoT,218,0.6467889908256881,0.015021711066776078,0.981651376146789,78.5091743119266
gpt-4o-mini,GPT-4o mini,Direct,218,0.42660550458715596,0.07495417204155075,0.09174311926605505,84.77064220183486
gpt-4o-mini,GPT-4o mini,CoT,218,0.46788990825688076,0.05309668239346954,0.2889908256880734,79.24311926605505
gpt-4o-mini,GPT-4o mini,Chained CoT,218,0.6422018348623854,-0.009139465875370956,0.9954128440366973,80.77981651376147
gpt-5.4-mini,GPT-5.4 mini,Direct,218,0.44495412844036697,0.03765049252097774,0.23853211009174313,86.85321100917432
gpt-5.4-mini,GPT-5.4 mini,CoT,218,0.5275229357798165,0.11910553158101211,0.3761467889908257,84.55045871559633
gpt-5.4-mini,GPT-5.4 mini,Chained CoT,218,0.6376146788990825,0.026015156656486682,0.9357798165137615,82.8302752293578
llama3.2_3b,Llama 3.2 3B,Direct,218,0.5229357798165137,0.030199332705962867,0.5275229357798165,72.20183486238533
llama3.2_3b,Llama 3.2 3B,CoT,218,0.5504587155963303,0.11050045798984087,0.481651376146789,71.6743119266055
llama3.2_3b,Llama 3.2 3B,Chained CoT,218,0.5779816513761468,-0.000299251870324202,0.7660550458715596,75.04587155963303
llama4_scout,Llama 4 Scout,Direct,218,0.44954128440366975,0.02044484385531331,0.2889908256880734,83.53211009174312
llama4_scout,Llama 4 Scout,CoT,218,0.3944954128440367,0.02102469891814651,0.0963302752293578,76.88073394495413
llama4_scout,Llama 4 Scout,Chained CoT,218,0.4724770642201835,0.05900457923579305,0.29357798165137616,78.22477064220183
phi4-mini,Phi-4 mini,Direct,218,0.591743119266055,0.03539823008849552,0.7614678899082569,85.11467889908256
phi4-mini,Phi-4 mini,CoT,218,0.44036697247706424,0.06253084243919627,0.16972477064220184,84.6788990825688
phi4-mini,Phi-4 mini,Chained CoT,218,0.518348623853211,0.018186497383546385,0.5321100917431193,37.403669724770644
qwen3_30b,Qwen3 30B,Direct,218,0.3761467889908257,0.0253139588401603,0.022935779816513763,94.44954128440367
qwen3_30b,Qwen3 30B,CoT,218,0.40825688073394495,0.05763688760806929,0.06422018348623854,92.12844036697248
qwen3_30b,Qwen3 30B,Chained CoT,218,0.6055045871559633,-0.00568608518399305,0.8669724770642202,92.81192660550458
qwen3_4b,Qwen3 4B,Direct,218,0.3853211009174312,0.031496585107088526,0.04128440366972477,92.88990825688073
qwen3_4b,Qwen3 4B,CoT,218,0.40825688073394495,0.06166166166166165,0.05504587155963303,91.85779816513761
qwen3_4b,Qwen3 4B,Chained CoT,218,0.5963302752293578,0.08968397076966883,0.6926605504587156,84.0137614678899
r1-1776_latest,R1-1776,Direct,218,0.5045871559633027,0.024931665700323014,0.4724770642201835,84.08256880733946
r1-1776_latest,R1-1776,CoT,218,0.591743119266055,0.1900308925440427,0.48623853211009177,76.42201834862385
r1-1776_latest,R1-1776,Chained CoT,218,0.6376146788990825,-0.003028538147932469,0.9724770642201835,77.77522935779817
