Model,article_id,index,article_only_output,article_only_confidence,human_label,source,politics,age,gender,article_only_aligned
gemini-2.5-flash-lite,195,352,0.0,95.0,1,FOX,Conservative,25,Female,0
gemini-2.5-flash-lite,182,541,0.0,95.0,1,FOX,Independent,29,Male,0
gemini-2.5-flash-lite,146,667,0.0,95.0,0,CNN,Liberal,33,Male,1
gemini-2.5-flash-lite,22,793,0.0,95.0,0,BBC,Other,40,Female,1
gemini-2.5-flash-lite,21,1486,1.0,85.0,0,BBC,Conservative,40,Male,0
gemini-2.5-flash-lite,265,1801,1.0,85.0,0,FOX,Liberal,72,Male,0
gemini-2.5-flash-lite,157,353,0.0,95.0,1,CNN,Independent,41,Female,0
gemini-2.5-flash-lite,142,542,0.0,95.0,1,CNN,Independent,27,Female,0
gemini-2.5-flash-lite,12,668,0.0,95.0,1,BBC,Conservative,33,Female,0
gemini-2.5-flash-lite,230,794,0.0,95.0,0,FOX,Independent,51,Female,1
gemini-2.5-flash-lite,267,1487,0.0,95.0,1,FOX,Conservative,59,Female,0
gemini-2.5-flash-lite,30,1802,0.0,95.0,0,BBC,Liberal,28,Female,1
gemini-2.5-flash-lite,152,354,1.0,95.0,1,CNN,Conservative,36,Female,1
gemini-2.5-flash-lite,111,543,1.0,85.0,0,CNN,Independent,46,Female,0
gemini-2.5-flash-lite,198,669,0.0,95.0,1,FOX,Liberal,29,Male,0
gemini-2.5-flash-lite,253,795,0.0,95.0,1,FOX,Conservative,44,Female,0
gemini-2.5-flash-lite,137,1488,0.0,95.0,0,CNN,Conservative,34,Male,1
gemini-2.5-flash-lite,205,1803,0.0,98.0,1,FOX,Other,36,Female,0
gemini-2.5-flash-lite,99,355,0.0,95.0,0,BBC,Liberal,34,Female,1
gemini-2.5-flash-lite,123,544,0.0,95.0,1,CNN,Independent,37,Male,0
gemini-2.5-flash-lite,176,670,1.0,75.0,0,FOX,Liberal,24,Male,0
gemini-2.5-flash-lite,156,796,0.0,95.0,0,CNN,Conservative,25,Female,1
gemini-2.5-flash-lite,136,1489,0.0,95.0,0,CNN,Conservative,50,Female,1
gemini-2.5-flash-lite,212,1804,0.0,95.0,0,FOX,Independent,36,Male,1
