Model,Model_Display,Comparison,Before_Accuracy,After_Accuracy,Delta_Accuracy,Before_Kappa,After_Kappa,Delta_Kappa,Before_Bias_Rate,After_Bias_Rate,Delta_Bias_Rate
gemini-2.5-flash-lite,Gemini 2.5,CoT vs Direct,0.4074074074074074,0.4444444444444444,0.037037037037037035,0.020477573868064924,0.06943347454584614,0.04895590067778122,0.13425925925925927,0.16203703703703703,0.027777777777777762
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT vs Direct,0.4074074074074074,0.5555555555555556,0.1481481481481482,0.020477573868064924,0.12734618298123057,0.10686860911316565,0.13425925925925927,0.4675925925925926,0.33333333333333337
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT vs CoT,0.4444444444444444,0.5555555555555556,0.11111111111111116,0.06943347454584614,0.12734618298123057,0.05791270843538443,0.16203703703703703,0.4675925925925926,0.3055555555555556
gemma3_27b,Gemma3 27B,CoT vs Direct,0.45871559633027525,0.6192660550458715,0.16055045871559626,0.07660277119678371,0.09466626638647047,0.01806349518968675,0.20642201834862386,0.7706422018348624,0.5642201834862386
gemma3_27b,Gemma3 27B,Chained CoT vs Direct,0.45871559633027525,0.6467889908256881,0.18807339449541283,0.07660277119678371,0.015021711066776078,-0.06158106013000764,0.20642201834862386,0.981651376146789,0.7752293577981652
gemma3_27b,Gemma3 27B,Chained CoT vs CoT,0.6192660550458715,0.6467889908256881,0.02752293577981657,0.09466626638647047,0.015021711066776078,-0.07964455531969439,0.7706422018348624,0.981651376146789,0.21100917431192656
gpt-4o-mini,GPT-4o mini,CoT vs Direct,0.42660550458715596,0.46788990825688076,0.0412844036697248,0.07495417204155075,0.05309668239346954,-0.021857489648081208,0.09174311926605505,0.2889908256880734,0.19724770642201833
gpt-4o-mini,GPT-4o mini,Chained CoT vs Direct,0.42660550458715596,0.6422018348623854,0.2155963302752294,0.07495417204155075,-0.009139465875370956,-0.0840936379169217,0.09174311926605505,0.9954128440366973,0.9036697247706422
gpt-4o-mini,GPT-4o mini,Chained CoT vs CoT,0.46788990825688076,0.6422018348623854,0.1743119266055046,0.05309668239346954,-0.009139465875370956,-0.0622361482688405,0.2889908256880734,0.9954128440366973,0.7064220183486238
gpt-5.4-mini,GPT-5.4 mini,CoT vs Direct,0.44495412844036697,0.5275229357798165,0.08256880733944949,0.03765049252097774,0.11910553158101211,0.08145503906003437,0.23853211009174313,0.3761467889908257,0.13761467889908258
gpt-5.4-mini,GPT-5.4 mini,Chained CoT vs Direct,0.44495412844036697,0.6376146788990825,0.19266055045871555,0.03765049252097774,0.026015156656486682,-0.011635335864491059,0.23853211009174313,0.9357798165137615,0.6972477064220184
gpt-5.4-mini,GPT-5.4 mini,Chained CoT vs CoT,0.5275229357798165,0.6376146788990825,0.11009174311926606,0.11910553158101211,0.026015156656486682,-0.09309037492452543,0.3761467889908257,0.9357798165137615,0.5596330275229358
llama3.2_3b,Llama 3.2 3B,CoT vs Direct,0.5229357798165137,0.5504587155963303,0.02752293577981657,0.030199332705962867,0.11050045798984087,0.080301125283878,0.5275229357798165,0.481651376146789,-0.04587155963302747
llama3.2_3b,Llama 3.2 3B,Chained CoT vs Direct,0.5229357798165137,0.5779816513761468,0.05504587155963303,0.030199332705962867,-0.000299251870324202,-0.03049858457628707,0.5275229357798165,0.7660550458715596,0.23853211009174313
llama3.2_3b,Llama 3.2 3B,Chained CoT vs CoT,0.5504587155963303,0.5779816513761468,0.02752293577981646,0.11050045798984087,-0.000299251870324202,-0.11079970986016507,0.481651376146789,0.7660550458715596,0.2844036697247706
llama4_scout,Llama 4 Scout,CoT vs Direct,0.44954128440366975,0.3944954128440367,-0.05504587155963303,0.02044484385531331,0.02102469891814651,0.0005798550628332011,0.2889908256880734,0.0963302752293578,-0.19266055045871558
llama4_scout,Llama 4 Scout,Chained CoT vs Direct,0.44954128440366975,0.4724770642201835,0.022935779816513735,0.02044484385531331,0.05900457923579305,0.03855973538047974,0.2889908256880734,0.29357798165137616,0.00458715596330278
llama4_scout,Llama 4 Scout,Chained CoT vs CoT,0.3944954128440367,0.4724770642201835,0.07798165137614677,0.02102469891814651,0.05900457923579305,0.03797988031764654,0.0963302752293578,0.29357798165137616,0.19724770642201836
