Model,Model_Display,Group,Comparison,Coefficient_log_odds,Odds_Ratio,OR_CI_2.5,OR_CI_97.5,p_value,significance,direction
gemini-2.5-flash-lite,Gemini 2.5,Conservative,Conservative baseline,-0.6286086594223812,0.5333333333333296,0.45933337956728626,0.6192548965468186,1.606741966770041e-16,***,lower accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Liberal,Liberal vs Conservative,0.3527145427226434,1.422924901185782,1.1652630813085565,1.73756064779884,0.0005390548364885845,***,higher accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Independent,Independent vs Conservative,0.5031744770304776,1.6539634146341573,1.306451714964651,2.093912040999004,2.8982559596772794e-05,***,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Conservative,Conservative baseline,-0.34868129625799693,0.7056179775280828,0.610709738408736,0.8152755702048252,2.234207735614039e-06,***,lower accuracy than Conservative
gemma3_27b,Gemma3 27B,Liberal,Liberal vs Conservative,0.15481797902387345,1.1674454422052984,0.9599530293075041,1.4197870301103392,0.12099456905509863,ns,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Independent,Independent vs Conservative,0.3270821844545353,1.386915455386807,1.0991956976967607,1.749947242716963,0.005829042077711401,**,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Conservative,Conservative baseline,-0.7050285084466965,0.4940944881889771,0.42475387961999866,0.5747548756402999,6.357644708497426e-20,***,lower accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Liberal,Liberal vs Conservative,0.3739471204603616,1.4534602901136766,1.1881891171850676,1.7779550278512537,0.0002757970442587185,***,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Independent,Independent vs Conservative,0.5969320129699948,1.8165371301678492,1.433285993175287,2.302267070906126,7.919230506011265e-07,***,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Conservative,Conservative baseline,-0.35955540680409426,0.6979865771812026,0.6040216154635504,0.8065692509219979,1.0942024596217908e-06,***,lower accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Liberal,Liberal vs Conservative,0.12021716956990391,1.12774173617548,0.92700887751785,1.371940932127262,0.22932768097553458,ns,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Independent,Independent vs Conservative,0.23412122441219094,1.2637976860537934,1.0012604775345975,1.595173910397091,0.04877347332924966,*,higher accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Conservative,Conservative baseline,0.06062462181643438,1.0624999999999996,0.9215252305837695,1.2250410651099128,0.4038757860445832,ns,higher accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Liberal,Liberal vs Conservative,-0.1190682176865093,0.8877472386334448,0.7313750814397356,1.077552653489254,0.22842679641194785,ns,lower accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Independent,Independent vs Conservative,0.19562808810505383,1.2160745486313338,0.9639186820592607,1.5341930137401205,0.09894038684999269,ns,higher accuracy than Conservative
llama4_scout,Llama 4 Scout,Conservative,Conservative baseline,-0.20359895524124447,0.8157894736842065,0.7070731032103001,0.9412215828212824,0.005269153581468172,**,lower accuracy than Conservative
llama4_scout,Llama 4 Scout,Liberal,Liberal vs Conservative,-0.06313994336529281,0.9388120839733793,0.7724786508154827,1.1409611490026366,0.5256958266894061,ns,lower accuracy than Conservative
llama4_scout,Llama 4 Scout,Independent,Independent vs Conservative,0.27706610712311636,1.319253580211202,1.0464044997919204,1.663247825526517,0.01909573320659788,*,higher accuracy than Conservative
phi4-mini,Phi-4 mini,Conservative,Conservative baseline,0.49189761388046815,1.6354166666666607,1.4123967116413156,1.8936518695961924,4.833354695799672e-11,***,higher accuracy than Conservative
phi4-mini,Phi-4 mini,Liberal,Liberal vs Conservative,-0.34331023073853917,0.7094180941191043,0.582499774309403,0.8639900897133415,0.0006411103666120106,***,lower accuracy than Conservative
phi4-mini,Phi-4 mini,Independent,Independent vs Conservative,-0.26194800809725993,0.7695510330899508,0.6085172907409404,0.9731996141124069,0.028761013698725822,*,lower accuracy than Conservative
qwen3_30b,Qwen3 30B,Conservative,Conservative baseline,-0.9413268100354696,0.39010989010989416,0.33298295655631605,0.4570375851528459,2.2377004687273153e-31,***,lower accuracy than Conservative
qwen3_30b,Qwen3 30B,Liberal,Liberal vs Conservative,0.4651108458094569,1.5921906667692713,1.292973684124846,1.9606517522149332,1.1911701861085916e-05,***,higher accuracy than Conservative
