Model,Model_Display,Metadata_Condition,Metadata_Label,N,Baseline_Accuracy,Metadata_Accuracy,Delta_Accuracy,N_Improved,N_Worsened,N_Unchanged,Improved_Rate,Worsened_Rate,Net_Improvement_Rate
gemini-2.5-flash-lite,Gemini 2.5,source,Source,2179,0.4148692060578247,0.3900871959614502,-0.024782010096374485,74,128,1977,0.03396053235429096,0.058742542450665444,-0.024782010096374485
gemma3_27b,Gemma3 27B,source,Source,2170,0.452073732718894,0.4612903225806452,0.009216589861751168,204,184,1782,0.09400921658986175,0.0847926267281106,0.009216589861751154
gpt-4o-mini,GPT-4o mini,source,Source,2179,0.40660853602569985,0.3992657182193667,-0.007342817806333168,75,91,2013,0.03441945846718678,0.041762276273519965,-0.007342817806333182
gpt-5.4-mini,GPT-5.4 mini,source,Source,2179,0.44102799449288665,0.4336851766865535,-0.007342817806333168,73,89,2017,0.033501606241395136,0.04084442404772832,-0.007342817806333182
llama3.2_3b,Llama 3.2 3B,source,Source,2179,0.5153740247820101,0.5190454336851766,0.0036714089031665287,123,115,1941,0.05644791188618632,0.05277650298301973,0.003671408903166591
llama4_scout,Llama 4 Scout,source,Source,2179,0.4625975217989904,0.4639743001376778,0.0013767783386874344,64,61,2054,0.029371271225332722,0.02799449288664525,0.0013767783386874725
phi4-mini,Phi-4 mini,source,Source,2179,0.5667737494263424,0.5277650298301974,-0.03900871959614505,165,250,1764,0.07572280862781092,0.11473152822395594,-0.03900871959614502
qwen3_30b,Qwen3 30B,source,Source,2179,0.3717301514456173,0.3744837081229922,0.0027535566773749243,41,35,2103,0.018815970628728775,0.016062413951353834,0.0027535566773749416
qwen3_4b,Qwen3 4B,source,Source,2179,0.3758604864616797,0.3841211564938045,0.008260670032124828,73,55,2051,0.033501606241395136,0.025240936209270308,0.008260670032124828
r1-1776_latest,R1-1776,source,Source,2179,0.5098669114272603,0.4827902707664066,-0.027076640660853635,94,153,1932,0.043139054612207434,0.07021569527306104,-0.027076640660853607
gemini-2.5-flash-lite,Gemini 2.5,politics,Politics,2179,0.4148692060578247,0.4359798072510326,0.0211106011932079,234,188,1757,0.10738871041762277,0.08627810922441487,0.0211106011932079
gemma3_27b,Gemma3 27B,politics,Politics,2170,0.4511520737327189,0.5,0.04884792626728113,336,230,1604,0.15483870967741936,0.10599078341013825,0.048847926267281114
gpt-4o-mini,GPT-4o mini,politics,Politics,2179,0.40660853602569985,0.4405690683799908,0.03396053235429097,212,138,1829,0.09729233593391463,0.06333180357962367,0.03396053235429096
gpt-5.4-mini,GPT-5.4 mini,politics,Politics,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,78,79,2022,0.03579623680587425,0.03625516291877008,-0.00045892611289582996
