Model,Model_Display,Metadata_Condition,Metadata_Label,Test_Type,N,n00,n01,n10,n11,McNemar_statistic,p_value,significance
gemini-2.5-flash-lite,Gemini 2.5,source,Source,Alignment change,2179,1201,74,128,776,13.905940594059405,0.00019219006059196663,***
gemma3_27b,Gemma3 27B,source,Source,Alignment change,2170,985,204,184,797,0.9304123711340206,0.3347557936224678,ns
gpt-4o-mini,GPT-4o mini,source,Source,Alignment change,2179,1218,75,91,795,1.355421686746988,0.24433252190568383,ns
gpt-5.4-mini,GPT-5.4 mini,source,Source,Alignment change,2179,1145,73,89,872,1.3888888888888888,0.2385928293164321,ns
llama3.2_3b,Llama 3.2 3B,source,Source,Alignment change,2179,933,123,115,1008,0.20588235294117646,0.650014096968383,ns
llama4_scout,Llama 4 Scout,source,Source,Alignment change,2179,1107,64,61,947,0.032,0.8580276569875211,ns
phi4-mini,Phi-4 mini,source,Source,Alignment change,2179,779,165,250,985,17.002409638554216,3.7332409769054945e-05,***
qwen3_30b,Qwen3 30B,source,Source,Alignment change,2179,1328,41,35,775,0.32894736842105265,0.566279574045329,ns
qwen3_4b,Qwen3 4B,source,Source,Alignment change,2179,1287,73,55,764,2.2578125,0.13294173056504696,ns
r1-1776_latest,R1-1776,source,Source,Alignment change,2179,974,94,153,958,13.619433198380566,0.00022385625826673607,***
gemini-2.5-flash-lite,Gemini 2.5,politics,Politics,Alignment change,2179,1041,234,188,716,4.798578199052133,0.028483233679344574,*
gemma3_27b,Gemma3 27B,politics,Politics,Alignment change,2170,855,336,230,749,19.478798586572438,1.0172249863568038e-05,***
gpt-4o-mini,GPT-4o mini,politics,Politics,Alignment change,2179,1081,212,138,748,15.225714285714286,9.539558668242277e-05,***
gpt-5.4-mini,GPT-5.4 mini,politics,Politics,Alignment change,2179,1140,78,79,882,0.0,1.0,ns
llama3.2_3b,Llama 3.2 3B,politics,Politics,Alignment change,2179,971,85,106,1017,2.094240837696335,0.14785513784216733,ns
llama4_scout,Llama 4 Scout,politics,Politics,Alignment change,2179,1024,147,109,899,5.34765625,0.020750145316116006,*
phi4-mini,Phi-4 mini,politics,Politics,Alignment change,2179,750,194,116,1119,19.125806451612902,1.2237892859436723e-05,***
qwen3_30b,Qwen3 30B,politics,Politics,Alignment change,2179,1249,120,51,759,27.04093567251462,1.9919208486076022e-07,***
qwen3_4b,Qwen3 4B,politics,Politics,Alignment change,2179,1286,74,59,760,1.4736842105263157,0.2247653067084076,ns
r1-1776_latest,R1-1776,politics,Politics,Alignment change,2179,777,291,190,921,20.79002079002079,5.124931086351981e-06,***
gemini-2.5-flash-lite,Gemini 2.5,source_politics,Source + Politics,Alignment change,2179,1058,217,147,757,13.07967032967033,0.0002985179884817169,***
gemma3_27b,Gemma3 27B,source_politics,Source + Politics,Alignment change,2179,808,387,287,697,14.541543026706231,0.00013710267327595894,***
gpt-4o-mini,GPT-4o mini,source_politics,Source + Politics,Alignment change,2179,830,463,296,590,36.30566534914361,1.6867283568022215e-09,***
gpt-5.4-mini,GPT-5.4 mini,source_politics,Source + Politics,Alignment change,2179,1110,108,114,847,0.11261261261261261,0.7371890955213669,ns
