article_id,num_raters,bias_rate,consensus_rate,consensus_category
0,4,0.75,0.75,Moderate
1,4,0.5,0.5,Tie
2,11,0.7272727272727273,0.7272727272727273,Moderate
3,7,0.8571428571428571,0.8571428571428571,High
5,3,0.3333333333333333,0.6666666666666667,Moderate
6,3,1.0,1.0,High
7,16,0.875,0.875,High
8,2,1.0,1.0,High
9,4,1.0,1.0,High
10,5,0.6,0.6,Moderate
11,6,0.6666666666666666,0.6666666666666666,Moderate
12,2,1.0,1.0,High
13,6,0.16666666666666666,0.8333333333333334,High
14,4,0.5,0.5,Tie
15,3,0.6666666666666666,0.6666666666666666,Moderate
16,8,0.5,0.5,Tie
18,2,0.0,1.0,High
19,11,0.45454545454545453,0.5454545454545454,Low
20,15,0.6,0.6,Moderate
21,5,0.6,0.6,Moderate
22,16,0.5625,0.5625,Low
24,5,0.6,0.6,Moderate
25,9,0.7777777777777778,0.7777777777777778,Moderate
27,5,0.2,0.8,High
28,9,0.6666666666666666,0.6666666666666666,Moderate
29,9,0.7777777777777778,0.7777777777777778,Moderate
31,2,0.5,0.5,Tie
32,2,0.5,0.5,Tie
33,10,0.6,0.6,Moderate
34,5,0.8,0.8,High
35,2,1.0,1.0,High
36,7,0.5714285714285714,0.5714285714285714,Low
37,2,0.5,0.5,Tie
38,3,1.0,1.0,High
39,2,1.0,1.0,High
40,5,0.6,0.6,Moderate
41,5,0.6,0.6,Moderate
42,5,0.4,0.6,Moderate
43,6,1.0,1.0,High
45,8,0.5,0.5,Tie
46,2,1.0,1.0,High
47,2,0.0,1.0,High
48,5,0.6,0.6,Moderate
49,2,0.5,0.5,Tie
50,24,0.625,0.625,Moderate
51,9,0.6666666666666666,0.6666666666666666,Moderate
52,9,0.4444444444444444,0.5555555555555556,Low
54,15,0.5333333333333333,0.5333333333333333,Low
55,2,0.5,0.5,Tie
57,9,0.5555555555555556,0.5555555555555556,Low
58,19,0.5263157894736842,0.5263157894736842,Low
59,23,0.5652173913043478,0.5652173913043478,Low
60,8,0.375,0.625,Moderate
61,6,0.16666666666666666,0.8333333333333334,High
62,12,0.6666666666666666,0.6666666666666666,Moderate
63,8,0.75,0.75,Moderate
65,10,0.7,0.7,Moderate
66,3,1.0,1.0,High
67,3,1.0,1.0,High
69,7,0.7142857142857143,0.7142857142857143,Moderate
70,7,0.42857142857142855,0.5714285714285714,Low
71,9,0.7777777777777778,0.7777777777777778,Moderate
72,7,0.5714285714285714,0.5714285714285714,Low
73,4,1.0,1.0,High
74,10,0.9,0.9,High
75,6,0.6666666666666666,0.6666666666666666,Moderate
76,20,0.55,0.55,Low
77,6,0.5,0.5,Tie
78,4,0.75,0.75,Moderate
79,2,0.5,0.5,Tie
80,8,0.75,0.75,Moderate
81,5,0.4,0.6,Moderate
82,5,0.6,0.6,Moderate
84,2,1.0,1.0,High
86,13,0.6153846153846154,0.6153846153846154,Moderate
87,7,0.8571428571428571,0.8571428571428571,High
88,5,0.8,0.8,High
89,4,1.0,1.0,High
90,11,0.6363636363636364,0.6363636363636364,Moderate
92,5,0.2,0.8,High
93,5,0.8,0.8,High
94,11,0.9090909090909091,0.9090909090909091,High
95,11,0.5454545454545454,0.5454545454545454,Low
97,6,0.8333333333333334,0.8333333333333334,High
98,13,0.5384615384615384,0.5384615384615384,Low
99,4,0.5,0.5,Tie
100,8,0.375,0.625,Moderate
101,20,0.6,0.6,Moderate
102,8,0.5,0.5,Tie
103,4,0.5,0.5,Tie
104,6,1.0,1.0,High
105,18,0.7777777777777778,0.7777777777777778,Moderate
106,6,0.8333333333333334,0.8333333333333334,High
109,6,0.5,0.5,Tie
110,34,0.4117647058823529,0.5882352941176471,Low
111,24,0.4166666666666667,0.5833333333333333,Low
112,37,0.6486486486486487,0.6486486486486487,Moderate
113,19,0.7368421052631579,0.7368421052631579,Moderate
114,45,0.4888888888888889,0.5111111111111111,Low
115,36,0.3888888888888889,0.6111111111111112,Moderate
116,32,0.75,0.75,Moderate
118,13,0.6923076923076923,0.6923076923076923,Moderate
119,13,0.8461538461538461,0.8461538461538461,High
120,3,0.6666666666666666,0.6666666666666666,Moderate
121,20,0.75,0.75,Moderate
122,10,0.7,0.7,Moderate
123,20,0.8,0.8,High
125,12,0.8333333333333334,0.8333333333333334,High
