,age,articleNumber,batch,bias-question,country,gender,language,source,politics,url
0,27,441.0,7.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
1,39,481.0,6.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/midwestern-storm-rainy-weather-snow-great-lakes-northeast
2,48,316.0,8.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter
3,38,230.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61018821
4,39,366.0,6.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/ohio-man-who-pleaded-guilty-to-manslaughter-in-neighbors-gruesome-asphyxiation-death-gets-4-years-in-prison
5,33,430.0,2.0,is-biased,United States,Male,English,FOX,Other,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
6,30,184.0,6.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/blankets-of-hope-nonprofit-homeless-shelters-ukraine
7,42,114.0,3.0,is-biased,United Kingdom,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
8,49,149.0,8.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/11/us/ghost-guns-what-to-know/index.html
9,31,196.0,4.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/us-navy-to-decommission-newest-warships
10,37,90.0,6.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/maryland-senior-citizen-assaulted-suspects-attempted-car-jacking
11,36,186.0,1.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60655723
12,55,463.0,8.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
13,43,64.0,7.0,is-biased,Burkina,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61018821
14,37,348.0,7.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
15,28,492.0,1.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
16,25,492.0,1.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
17,62,174.0,2.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60797948
18,26,48.0,6.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/alabama-transgender-bills/index.html
19,26,110.0,4.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/07/us/kentucky-governor-vetoes-bill-anti-critical-race-theory/index.html
20,44,238.0,8.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/magazine-33103973
21,56,474.0,2.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
22,30,224.0,2.0,is-biased,India,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
23,30,435.0,4.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/us/iowa-survivalist-arrested/index.html
24,46,69.0,8.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
25,25,398.0,8.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60999431
26,48,387.0,7.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/10/us/us-marshals-service-new-orleans-operation/index.html
27,41,37.0,3.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/21/politics/ketanji-brown-jackson-confirmation-hearing-day-1/index.html
28,23,359.0,4.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/florida-mid-atlantic-forecast-strong-storms-heavy-rain
29,44,9.0,1.0,is-not-biased,Colombia,Female,Spanish,CNN,Independent,https://www.cnn.com/2022/03/08/us/joplin-missouri-police-officers-shot/index.html
30,28,193.0,6.0,is-biased,India,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/magazine-33103973
31,25,189.0,8.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/uk-scotland-61031326
32,57,107.0,4.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61026996
33,29,175.0,2.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/4-people-shot-near-south-by-southwest-festival-in-texas
34,29,306.0,8.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
35,25,392.0,1.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60498965
36,40,233.0,4.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
37,32,39.0,7.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/midwestern-storm-rainy-weather-snow-great-lakes-northeast
38,25,64.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61018821
39,55,199.0,6.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/08/us/alabama-transgender-bills/index.html
40,32,155.0,2.0,is-biased,Other,Female,English,FOX,Independent,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
41,42,299.0,7.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/teen-suspect-arraigned-victim-identified-following-shooting-near-nyc-high-school
42,41,6.0,7.0,is-not-biased,Australia,Female,English,FOX,Liberal,https://www.foxnews.com/us/man-beaten-by-biker-club-after-accidentally-running-into-member-at-mi-bar-police
43,50,5.0,3.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
44,34,405.0,2.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60810468
45,66,314.0,8.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61063905
46,32,492.0,4.0,is-biased,India,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/tech/spacex-iss-tourism-mission-scn/index.html
47,38,218.0,7.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
48,39,27.0,8.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
49,36,181.0,3.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/putin-war-criminal-ukraine-russia-what-matters/index.html
50,25,244.0,4.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc
51,29,0.0,2.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
52,38,82.0,3.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/politics/covid-funding-biden-administration/index.html
53,54,87.0,6.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/new-york-city-pedestrian-killed-nypd-van
54,32,309.0,3.0,is-biased,Indonesia,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/ketanji-brown-jackson-confirmation-hearing-day-1/index.html
55,35,250.0,3.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
56,30,451.0,6.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/americans-russia-custody-conflict
57,27,328.0,3.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/trump-appeal-ny-attorney-general-investigation-depositions/index.html
58,32,399.0,6.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
59,30,162.0,8.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/cars/tesla-fsd-family-friends/index.html
60,26,30.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047565
61,28,294.0,3.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/severe-weather-coming-to-texas-southeast
62,33,42.0,1.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60635930
63,44,390.0,2.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
64,54,388.0,3.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-europe-60804949
65,37,238.0,4.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
66,27,89.0,8.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/investing/russia-default-sp/index.html
67,27,255.0,8.0,is-biased,United States,Female,Nyangumarta,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61047164
68,53,474.0,8.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61029445
69,29,356.0,7.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-61044759
70,66,85.0,8.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61018819
71,28,428.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61016908
72,32,337.0,8.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
73,30,10.0,6.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
74,39,37.0,8.0,is-not-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/technology-60995694
75,29,368.0,7.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
76,33,202.0,1.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60624642
77,29,240.0,8.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
78,47,191.0,6.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/james-trump-contempt/index.html
79,37,272.0,2.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kanye-west-banned-grammys-trevor-noah/index.html
80,24,407.0,2.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
81,54,486.0,8.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/man-charged-burying-mother-sister-backyard
82,61,238.0,7.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/nyc-mayor-eric-adams-positive-covid
83,25,274.0,3.0,is-biased,United Kingdom,Female,Abanyom,FOX,Liberal,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video
84,37,441.0,7.0,is-biased,United States,Other,English,CNN,Independent,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
85,22,320.0,3.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-60816960
86,32,138.0,4.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-mid-atlantic-forecast-strong-storms-heavy-rain
87,48,220.0,4.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61004345
88,30,87.0,8.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
89,22,468.0,8.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/florida-man-arrested-baby-alligator-guns-drugs-truck
90,32,257.0,7.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61033126
91,48,191.0,7.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/dc-fake-feds-tipped-off-shipped-evidence
92,41,210.0,7.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-model-courtney-clenney-hotel-miami
93,45,74.0,2.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60810468
94,29,282.0,3.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
95,44,381.0,3.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/mexico-cartel-ak-texas-border
96,53,281.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61023229
97,37,484.0,6.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/americans-russia-custody-conflict
98,25,354.0,7.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html
99,44,262.0,2.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/la-county-sheriff-helicopter-crash
100,44,236.0,3.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
101,30,412.0,7.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61047565
102,59,98.0,7.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
103,30,139.0,2.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
104,47,221.0,2.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/av/10462520
105,32,51.0,1.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60666251
106,25,307.0,4.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/capitol-fox-kits-euthanized-rabies-dc
107,32,8.0,3.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60787377
