Model,article_id,index,article_only_output,article_only_confidence,human_label,source,politics,age,gender,article_only_aligned,metadata_output,metadata_confidence,Metadata_Condition,Metadata_Label,metadata_aligned,flipped,to_biased,to_not_biased
gemini-2.5-flash-lite,195,352,0,95.0,1,FOX,Conservative,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,182,541,0,95.0,1,FOX,Independent,29,Male,0,0,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,146,667,0,95.0,0,CNN,Liberal,33,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,22,793,0,95.0,0,BBC,Other,40,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,21,1486,1,85.0,0,BBC,Conservative,40,Male,0,0,95.0,source,Source,1,1,0,1
gemini-2.5-flash-lite,265,1801,1,85.0,0,FOX,Liberal,72,Male,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,157,353,0,95.0,1,CNN,Independent,41,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,142,542,0,95.0,1,CNN,Independent,27,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,12,668,0,95.0,1,BBC,Conservative,33,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,230,794,0,95.0,0,FOX,Independent,51,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,267,1487,0,95.0,1,FOX,Conservative,59,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,30,1802,0,95.0,0,BBC,Liberal,28,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,152,354,1,95.0,1,CNN,Conservative,36,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,111,543,1,85.0,0,CNN,Independent,46,Female,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,198,669,0,95.0,1,FOX,Liberal,29,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,253,795,0,95.0,1,FOX,Conservative,44,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,137,1488,0,95.0,0,CNN,Conservative,34,Male,1,0,95.0,source,Source,1,0,0,0
