article_id,index,llm_assessment,llm_confidence,llm_label,Model,Prompt,human_label,source,politics,age,gender
195,352,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Female
182,541,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,29,Male
146,667,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,33,Male
22,793,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Other,40,Female
21,1486,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,40,Male
265,1801,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,72,Male
157,353,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,41,Female
142,542,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,27,Female
12,668,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,33,Female
230,794,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,51,Female
267,1487,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,59,Female
30,1802,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,28,Female
152,354,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,36,Female
111,543,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,46,Female
198,669,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,29,Male
253,795,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,44,Female
137,1488,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,34,Male
205,1803,is-not-biased,98.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Other,36,Female
99,355,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,34,Female
123,544,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,37,Male
176,670,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,24,Male
156,796,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,25,Female
136,1489,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,50,Female
212,1804,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,36,Male
20,356,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,25,Male
193,545,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,54,Female
230,671,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,48,Male
233,797,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,25,Male
80,1490,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,31,Male
116,1805,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,33,Male
160,357,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,32,Male
268,546,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,32,Male
140,672,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,57,Female
86,798,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,47,Female
74,1491,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,30,Male
57,1806,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,44,Female
123,358,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,59,Male
116,547,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,42,Female
84,673,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,33,Male
216,799,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,20,Male
131,1492,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,38,Male
193,1807,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,61,Female
116,359,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,62,Male
272,548,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,19,Male
196,674,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Male
85,800,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,39,Male
74,1493,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,35,Male
116,1808,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,26,Male
263,360,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,26,Female
36,549,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,34,Female
101,675,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,24,Female
226,801,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,27,Female
133,1494,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,25,Female
47,1809,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,27,Male
